PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
43,0,3,Gloria Hill,male,43.6,4,4,552366,240.75,C1,Q
44,0,1,Steven Rodriguez,male,13.8,4,2,165725,215.22,A1,C
45,0,1,Tiffany Davis,male,67.5,0,1,229981,336.04,,C
46,1,2,Jessica Berger,male,67.9,3,1,184654,282.74,A1,S
47,1,2,John Klein,male,76.5,3,0,691723,38.7,B1,Q
48,0,3,Stacy Allen,female,13.2,4,1,419030,266.1,D1,S
49,0,3,Alexis Smith MD,female,50.2,2,2,428947,414.55,D1,S
50,1,1,Elizabeth Barnes,male,38.5,1,1,655839,239.2,C1,C
51,0,3,Devin Ruiz,female,28.2,2,4,373538,33.49,D1,Q
52,1,2,Karen Lester,female,28.8,1,0,431236,404.38,,Q
53,0,2,Nathan Gonzalez,male,33.6,4,2,628178,108.95,D1,Q
54,1,1,Steven Perez,male,56.7,1,0,665894,137.87,C1,C
55,0,2,Cynthia Baird,male,48.3,3,2,589492,90.44,B1,C
56,1,2,Jessica Duran,female,37.3,0,4,356840,174.04,B1,C
57,0,2,Mrs. Sarah Murray MD,female,7.0,0,0,573254,389.47,D1,C
58,1,2,Tyrone Harris,male,7.1,4,3,449457,269.58,A1,C
59,1,1,Alicia Welch,male,1.2,3,2,765987,110.73,B1,Q
60,0,1,David Francis,male,77.4,2,3,370936,450.62,D1,S
61,0,3,Edward White,female,1.4,3,0,339931,451.51,C1,Q
62,1,2,Pamela Sullivan,female,9.1,0,3,339629,446.96,D1,S
63,0,3,Jasmin Richmond,female,25.9,0,3,305041,127.86,B1,C
64,1,1,Jennifer Young,female,64.8,3,0,798361,235.16,C1,S
65,0,1,Michael Wade,male,77.0,3,4,831912,504.75,D1,Q
66,1,1,Kelli Russell,male,63.4,0,3,517113,397.18,,Q
67,1,1,Kristen Berger,male,55.6,2,3,168148,20.97,C1,S
68,1,1,Ashley Shields,male,42.2,4,4,877089,40.18,,C
69,1,1,Jennifer Rojas,female,7.8,4,3,748531,241.57,A1,C
70,1,1,Jody Gray,female,76.7,3,3,351995,466.48,C1,Q
71,1,2,Natalie Smith,male,60.9,4,3,778843,279.34,,S
72,0,3,Michael Williams,male,51.5,0,1,672843,258.69,B1,C
73,0,1,Dakota Jacobson,female,61.0,0,4,356508,60.52,B1,C
74,0,2,Laura Mckenzie,male,58.2,3,3,903591,338.98,A1,Q
75,1,2,Taylor Woodward,female,51.3,3,4,996942,422.48,C1,C
76,1,3,John Bailey,male,78.5,3,2,206530,199.39,C1,S
77,1,1,Robin Mclean,male,72.4,2,2,704365,399.0,C1,Q
78,1,3,Terry Knight,male,52.1,4,3,922352,494.39,A1,Q
79,0,1,Victor House,male,55.8,3,4,560337,110.17,C1,S
80,0,2,Tiffany Jacobs,male,5.1,1,4,824839,271.57,B1,Q
81,1,2,Jennifer Mann,male,53.9,1,4,905889,152.28,,C
82,0,2,Kimberly Murphy,male,4.5,0,1,559773,407.7,B1,C
83,0,2,Amanda Ramos,female,47.5,4,2,308261,298.98,B1,S
84,1,3,Charlene Jennings,female,79.9,3,4,864469,327.76,,C
85,0,1,Darryl Rivera,female,44.9,1,4,441097,410.26,B1,S
86,1,1,Barbara Hinton,female,38.4,4,1,415139,207.25,A1,S
87,0,3,Jennifer Wilkerson,female,25.7,0,1,271829,469.44,,C
88,1,1,Julia Dillon,male,10.5,2,4,371836,276.47,B1,S
89,1,2,Jacob Cline,male,58.8,4,0,538974,87.03,D1,C
90,1,1,Lisa Solomon,female,16.2,4,4,302283,358.73,B1,Q
91,1,2,Ronald Davis,male,10.1,2,4,296769,407.91,A1,Q
92,0,3,Mary Hunter,female,34.3,4,1,661353,167.24,C1,S
93,1,1,Collin Perkins,female,63.8,0,1,323165,440.19,B1,C
94,1,3,Kimberly Simmons,male,59.9,0,4,723587,464.92,C1,C
95,1,1,Brandi Baird,male,5.3,2,4,635822,147.11,D1,Q
96,0,2,Justin Smith,male,37.0,3,4,587879,504.01,B1,Q
97,1,3,Rebecca Davis,female,42.3,1,1,664685,78.32,,C
98,0,1,Alec Reed,male,51.9,3,4,882038,109.28,C1,S
99,1,2,Brian Rose,female,52.4,4,4,453531,100.3,D1,Q
100,0,3,Stacy Ingram,female,29.8,1,3,363160,458.79,,S
101,0,3,Dominique King,female,45.3,2,0,679879,337.72,,S
102,1,1,Ian Levine,male,39.0,2,2,320884,84.07,,Q
103,0,1,Nicole Rodriguez,male,70.9,1,0,123247,229.65,,S
104,1,1,Meghan Gonzales,female,42.9,0,3,124300,318.02,B1,S
105,1,2,Angelica Freeman,male,35.8,1,2,567281,49.41,B1,C
106,1,1,Melissa Gonzalez,male,33.0,4,4,707086,452.94,B1,S
107,0,3,Barry Davis,male,46.2,0,3,633556,413.13,D1,C
108,0,3,Kurt Allen,female,64.5,2,4,448951,262.42,D1,Q
109,1,1,Rachael Barker,female,43.5,1,1,374329,495.73,D1,Q
110,1,1,Peter Richards,male,53.3,3,3,819064,218.25,A1,C
111,0,3,Stacie Anderson,female,59.3,3,1,842139,504.3,D1,Q
112,1,2,Caroline Mueller,male,42.1,4,3,532315,344.6,B1,S
113,1,1,Lawrence Lewis,male,34.7,3,3,616588,327.81,B1,S
114,1,1,Jason Mullen,male,70.3,1,1,336584,91.07,A1,S
115,0,3,Taylor Dawson,male,34.0,1,2,662332,452.69,A1,Q
116,0,1,Samantha Hernandez,female,37.5,3,0,937646,223.17,D1,S
117,0,2,Christina Grant,female,79.2,1,4,476896,89.19,C1,Q
118,1,3,Christopher Moore,female,1.0,4,3,148984,13.62,A1,S
119,1,1,Brandon Rodriguez,male,15.7,0,4,402918,289.97,,C
120,1,3,Dr. Nathan Roberts,male,31.3,4,1,364712,273.63,B1,Q
121,0,1,Tyler Mays,male,74.7,4,4,220151,370.58,,Q
122,1,1,Leah Ortega,female,6.5,1,1,555808,456.9,B1,S
123,1,1,Kylie Graham,male,1.7,0,4,233767,47.36,B1,Q
124,1,2,Angela Butler,female,5.2,1,0,748663,376.71,A1,Q
125,1,2,Christopher House,female,8.0,2,0,803550,101.91,A1,C
126,0,3,Michael Miller,female,4.0,1,0,236330,440.7,,C
127,0,1,Susan Valenzuela,female,38.9,1,0,580754,420.94,B1,S
128,1,1,James Henry,female,46.9,1,0,401648,280.39,,C
129,0,2,Richard Giles,female,22.5,0,0,788519,365.98,C1,S
130,0,1,Sarah Davis,male,32.5,1,1,113986,166.02,,S
131,1,2,Deborah Henry,male,8.2,0,3,686146,245.23,D1,S
132,1,1,Walter Rodriguez,female,27.6,3,4,229312,422.24,,Q
133,0,3,Rhonda Barnes,female,42.3,2,0,112666,239.22,D1,C
134,1,1,Heidi Thompson,male,58.8,0,1,400804,187.97,D1,S
135,0,1,Marissa Fitzgerald,female,1.3,3,1,234633,256.87,D1,C
136,1,2,Gary Lawson,female,37.9,0,1,388998,425.58,C1,S
137,0,1,Shawna Smith,male,24.5,0,3,950937,176.56,,C
138,1,1,Paul Figueroa,female,68.4,2,4,728776,95.01,,C
139,0,2,Jennifer Walker,female,57.5,4,3,807611,366.87,C1,S
140,0,3,Jessica Palmer,female,47.5,4,2,384806,424.44,B1,Q
141,0,3,Mary Gonzalez,male,22.9,0,1,894824,58.08,A1,C
142,1,2,Jake Dodson,male,72.9,1,2,130535,128.41,,Q
143,0,2,Virginia Klein,male,4.6,3,0,475713,78.96,A1,Q
144,0,2,Brett Nielsen,female,9.6,1,0,938688,182.99,C1,S
145,1,2,Mark Cummings,female,31.9,1,3,451279,234.71,B1,S
146,1,2,Max Valencia,male,10.8,0,4,921654,385.47,B1,S
147,0,3,Corey Alexander,female,76.6,0,2,701661,336.13,B1,C
148,0,3,Nicholas Williams,female,64.0,0,4,747972,320.87,C1,S
149,1,2,Chris Garza,female,21.5,0,3,589570,185.23,D1,S
150,1,1,Stephanie Young,female,47.5,4,0,556551,432.25,D1,C
151,1,2,Michael Marquez,female,78.6,0,4,373109,245.29,A1,C
152,1,1,Peter Thompson,male,70.9,4,4,124538,501.78,D1,S
153,1,2,Amanda Ramirez,female,48.5,4,0,994498,327.54,D1,S
154,0,2,Amanda Gonzales,male,72.4,0,2,301664,71.02,B1,S
155,1,3,Megan Price,female,79.1,2,0,591234,348.77,B1,S
156,0,1,Kenneth Morales,male,59.7,3,4,999684,171.45,A1,Q
157,0,1,Laurie Macias,female,6.1,1,2,239182,353.9,,Q
158,0,3,Melissa Hunt,male,32.7,4,2,572525,42.42,A1,S
159,1,3,Michael Odonnell,female,67.2,3,0,258338,95.58,A1,Q
160,0,3,Devin Harris,male,19.2,2,4,284064,439.47,C1,C
161,0,3,Heather Castillo,female,66.6,1,3,314020,121.99,C1,Q
162,1,1,Andrea Lopez,male,10.5,1,4,723094,430.02,A1,Q
163,0,1,Diana Atkins,female,4.7,4,1,997421,148.31,A1,S
164,0,2,Veronica Cannon,male,31.3,0,3,715270,331.96,A1,Q
165,1,2,Deborah Adkins,male,3.9,2,2,745914,357.85,D1,Q
166,0,3,Christopher Wyatt,female,76.6,4,3,219176,266.18,C1,Q
167,0,3,Kristi Cooper,female,66.3,2,2,318126,161.46,A1,Q
168,0,3,Brett Brown,male,64.3,0,2,318969,114.65,B1,C
169,1,2,Michael Garner,female,50.8,0,3,222409,24.01,B1,S
170,1,2,Diana Gordon,male,18.1,4,2,647707,160.77,D1,S
171,1,2,Laurie Andrade,male,41.9,0,2,353618,337.15,D1,C
172,0,2,Jasmin Schwartz,male,48.2,3,1,869598,481.17,,Q
173,0,2,Jill Molina,female,42.5,1,4,150015,447.28,,C
174,1,2,Amber Brown,male,21.6,4,4,872838,394.17,,Q
175,0,2,Christine Moody,male,41.7,2,1,222096,405.48,D1,C
176,0,3,James Robinson MD,female,39.8,3,3,731347,343.12,D1,S
177,1,3,Krista Davis,female,79.7,4,0,285340,138.72,D1,S
178,1,3,Timothy Atkinson Jr.,female,71.9,0,0,210687,465.46,B1,S
179,0,3,Carolyn Bailey,female,37.6,0,0,974371,346.02,D1,Q
180,0,2,Ashley Francis,male,50.2,0,1,511357,290.32,B1,Q
181,0,1,Ashley Rodriguez,male,60.1,0,1,835716,63.31,,C
182,1,2,Shane Jones,male,3.8,2,2,205878,233.05,,C
183,1,1,Amber Huffman,male,71.7,3,0,827270,239.77,,S
184,1,3,Jennifer Avila,female,69.0,1,3,298286,443.92,A1,Q
185,1,2,Julie Carey,male,37.1,2,3,873290,283.35,A1,C
186,0,3,Cynthia Schaefer,male,31.9,2,0,874684,199.38,C1,Q
187,1,2,Amy Hall,female,22.6,1,0,264899,500.61,C1,Q
188,1,3,Harold Smith,male,38.7,1,0,424767,63.17,C1,S
189,1,1,Kurt Robertson Jr.,male,4.5,0,1,961882,220.67,A1,S
190,1,1,Mary Savage,male,68.3,2,1,979858,28.48,A1,Q
191,1,1,Pamela Mitchell,male,3.8,4,1,479989,380.96,C1,Q
192,0,2,Daniel Nguyen,male,27.0,1,4,515515,470.95,C1,Q
193,0,1,Sarah Espinoza,male,74.6,1,3,143585,148.69,D1,Q
194,1,2,Maria Caldwell,female,59.1,3,3,471369,440.78,C1,S
195,0,1,Robin Evans,female,23.2,4,2,164044,154.84,D1,C
196,1,1,George Bauer,male,21.0,4,1,542296,467.26,B1,S
197,1,2,Timothy Curtis,male,1.4,1,4,209556,388.06,A1,C
198,0,2,Alan Clark,female,56.0,0,4,626981,413.79,C1,Q
199,0,1,Patrick Thomas,male,4.9,3,3,981691,16.34,A1,C
200,1,2,Lisa Collier,male,43.1,4,1,867595,493.55,A1,S
201,1,1,Joanna Ortiz,male,77.0,1,2,300235,374.28,A1,S
202,1,2,Katelyn Huynh,female,9.6,4,1,125939,161.17,B1,Q
203,0,3,Paige Robinson,male,71.7,3,0,252906,426.16,,S
204,1,3,Alexandra Holt,female,79.3,3,1,642335,149.44,C1,Q
205,1,3,Sara Cardenas,male,5.9,2,0,388249,448.06,,S
206,1,3,Carly Johnson,female,70.7,1,0,175766,64.11,,S
207,0,3,Heidi Thompson,female,41.8,3,2,508923,362.67,,Q
208,1,1,Darryl Nelson,male,72.6,2,3,515192,280.35,A1,C
209,1,3,Gregory Lowe,female,46.1,2,1,668550,56.01,D1,S
210,0,3,Charles Sanchez,male,53.3,4,0,487261,129.43,A1,C
211,1,3,Stephanie Sloan,female,44.0,4,1,910208,13.52,A1,S
212,1,3,Victoria Rhodes,male,69.3,2,3,785440,244.02,,S
213,0,2,Danielle Mitchell,male,59.0,4,3,752664,159.41,A1,S
214,1,1,David Roth,female,42.2,3,4,554589,309.47,,S
215,0,3,Lisa Gonzalez,male,69.6,0,3,237848,157.38,D1,C
216,0,3,Tonya Henry,male,20.4,3,2,717075,158.73,C1,C
217,1,3,Johnathan Medina,female,13.4,2,0,227948,382.62,,S
218,1,1,Donald Rogers,male,13.7,2,4,679304,31.57,D1,S
219,1,2,Brittany Owens,male,27.4,3,2,502690,463.28,C1,C
220,1,1,Chad Johnson,female,19.9,4,1,599046,437.71,B1,Q
221,0,2,Sarah Dunn,female,74.5,4,0,551269,344.54,,Q
222,1,3,Brianna Cox,male,9.4,2,3,121959,306.87,,C
223,0,3,Elizabeth Golden,male,56.2,1,0,760890,457.93,B1,S
224,1,1,Bruce Johnson,female,15.9,4,1,850216,100.86,B1,S
225,1,1,Jacob Gonzales,female,70.6,3,4,890180,47.14,,Q
226,1,2,James Hardin,male,76.9,4,4,328576,128.22,B1,Q
227,0,2,David Jones,female,37.8,3,4,637833,408.58,A1,C
228,1,1,Pamela Mcconnell,male,70.4,2,3,265838,24.76,C1,Q
229,1,2,Lauren Welch,male,1.4,4,2,435674,301.61,C1,C
230,1,1,Kayla Knox,male,65.8,3,2,979989,510.03,C1,Q
231,1,2,Megan Booker,male,19.1,2,0,161087,439.44,A1,Q
232,0,1,William Ferrell,male,72.8,1,3,693128,270.62,B1,Q
233,1,1,Brandon Rice,female,1.1,3,4,218451,39.39,D1,S
234,0,1,Nathan Nolan,female,44.9,1,4,547600,427.16,B1,S
235,0,2,Nicole Scott,female,60.8,1,1,937437,309.78,,S
236,0,2,Jessica Austin,female,21.4,0,1,539792,65.3,C1,Q
237,0,2,Ivan Strickland,male,16.3,4,4,139353,54.66,B1,C
238,0,1,William Lang,male,7.6,3,4,293075,466.68,D1,C
239,0,2,Monica Larson,male,26.8,1,3,314283,345.25,,C
240,1,2,Tyler Roberts,male,45.2,0,2,414877,426.11,A1,C
241,0,1,Nicole Kim,female,10.2,2,1,165318,451.2,A1,S
242,0,3,Megan Lee,male,30.8,3,2,865313,296.04,D1,S
243,0,1,Carly Evans,male,1.7,1,3,582690,268.6,,Q
244,1,2,Jose Day,female,65.7,4,4,516880,224.65,C1,Q
245,1,1,Kelly Anthony,female,11.1,0,2,691460,167.33,B1,C
246,0,3,John Morgan,female,23.4,1,4,840976,226.76,,S
247,1,1,Benjamin Vargas,female,2.5,4,4,881239,398.12,A1,C
248,0,2,Brian Taylor,male,35.1,1,0,193264,311.27,D1,Q
249,0,3,Laura Hall,male,67.4,3,2,870746,458.05,D1,Q
250,1,2,Susan Hill,female,32.0,3,2,913168,231.19,B1,C
251,0,3,Robert Cervantes,male,15.2,3,4,325281,313.88,D1,Q
252,1,3,Michelle Knight,male,60.5,0,3,737147,326.11,D1,C
253,1,1,Mary Gutierrez,male,63.3,3,0,998613,306.1,,S
254,0,1,Michele Adams,female,14.7,4,4,494070,362.14,C1,C
255,0,2,Shawn Conway,male,61.9,1,1,452228,127.17,B1,S
256,1,1,Hannah Shaw,female,75.8,2,1,531839,266.03,,S
257,0,1,Kyle Wilson,male,14.1,4,0,369536,59.89,C1,Q
258,0,3,Sonia Rivera,male,61.9,4,3,417824,201.46,,Q
259,0,1,Sylvia Morales,male,57.0,3,4,357426,253.56,,Q
260,1,3,Ashley Downs,female,38.4,0,2,277789,336.68,D1,C
261,1,3,Chase Espinoza MD,male,5.6,1,0,613153,487.34,C1,C
262,0,3,Jeffrey Stewart,female,6.9,0,3,842452,310.63,B1,Q
263,1,2,Charles Burgess,female,68.3,1,2,937291,382.82,B1,C
264,1,2,John Love,female,79.2,1,1,225657,262.95,C1,Q
265,1,2,John Pace,male,54.4,0,1,335167,327.52,D1,C
266,1,3,Preston Meyer,male,36.2,4,2,781669,43.08,A1,S
267,1,2,Joy Le MD,male,52.2,1,0,580671,135.74,,S
268,0,2,Aaron Lee,male,48.0,0,1,819094,190.01,D1,Q
269,0,1,Diana Smith,female,31.3,1,4,170467,245.9,C1,C
270,0,2,Dustin Mitchell,female,6.2,2,2,283734,30.31,,C
271,1,2,Jeremy Marquez,female,65.9,4,2,722794,77.97,B1,S
272,1,3,Anna Hall,male,30.4,3,1,209751,147.06,A1,S
273,0,3,Renee Barnes,female,65.7,1,0,481050,497.95,B1,Q
274,1,3,Ashley Barrera,male,20.9,2,4,911774,174.61,C1,S
275,0,3,Ryan Mckay,female,1.1,3,0,792517,250.72,,Q
276,0,3,Sarah Mcintyre,male,13.6,3,3,561079,106.3,C1,S
277,0,3,Kathryn Anderson,male,38.0,1,3,468452,315.74,,S
278,1,2,Andrea Larson,female,75.6,0,1,206081,149.02,D1,C
279,1,3,Thomas Ferguson,female,9.1,1,1,713333,111.8,A1,S
280,0,3,Rachel Roach,female,68.5,2,1,658986,268.16,D1,S
281,0,1,Mark Bennett,female,42.6,3,3,210078,10.03,D1,Q
282,0,2,Lydia Solomon,male,66.2,1,0,967055,11.12,C1,S
283,0,2,Timothy Leon,female,24.6,0,0,122671,117.9,A1,Q
284,1,2,Kimberly Moreno,female,67.4,1,1,518400,25.8,,S
285,1,3,Derek Stanton,female,62.1,4,4,455528,61.81,,S
286,0,3,Michelle Rodriguez,male,19.2,0,0,710490,178.4,B1,Q
287,0,3,Michael Hernandez,male,11.4,2,3,151663,412.62,,C
288,1,1,Lonnie Mcdaniel,female,69.6,3,2,115708,296.18,C1,Q
289,1,3,Hannah Meyer MD,male,77.1,1,2,978338,266.19,D1,Q
290,0,1,Jamie Jones,female,3.5,0,2,411955,155.49,D1,Q
291,0,2,Brian Ortega,male,58.8,4,4,233883,477.86,D1,C
292,0,3,Angela Williamson,male,72.9,0,1,418394,207.77,A1,S
293,1,1,Dr. Brian Brennan,male,68.7,4,3,212547,51.24,,Q
294,1,1,Shawn Simmons,male,77.2,2,4,659042,318.92,C1,Q
295,1,3,Emily Jenkins,female,61.0,3,3,851102,64.75,A1,C
296,0,2,Mike Gutierrez,female,35.9,2,3,862002,181.62,B1,Q
297,0,2,Nichole Williams,female,25.6,1,1,242483,263.53,C1,S
298,1,2,Ian Alvarez,male,26.3,0,2,758271,448.8,C1,C
299,1,1,Bradley Boyd,female,58.2,4,1,314835,256.53,C1,S
300,0,1,Andrea Young,female,59.9,4,4,501896,361.95,D1,S
301,1,1,Brian Mcfarland,female,16.8,0,4,184896,508.7,C1,C
302,1,1,Marisa Watts,male,69.6,0,4,577095,73.66,,Q
303,0,2,Kristine Reynolds,male,57.5,1,1,171295,146.01,C1,S
304,1,3,Brandon Knight,male,45.5,2,3,843974,206.54,D1,S
305,0,1,Matthew Davis,female,38.3,4,3,987121,220.31,C1,S
306,0,1,Alexis Simmons,female,43.9,1,0,373255,214.85,B1,S
307,0,2,Antonio Tucker,female,13.6,2,4,399648,465.67,B1,C
308,0,3,John Bailey,male,17.1,1,3,757162,367.89,D1,C
309,0,3,Colton Robinson,male,8.2,4,0,108155,314.29,,S
310,0,2,Terry Newman,female,13.1,0,3,566872,163.51,,Q
311,0,2,Michael Davis,male,36.8,0,4,925816,423.33,A1,S
312,1,3,Brian Huff,male,42.9,2,2,474705,489.63,D1,Q
313,0,1,Paul Gutierrez,male,2.4,3,4,671542,422.02,C1,S
314,0,3,Anthony Morales,male,63.9,2,1,908350,8.04,D1,Q
315,1,2,Jessica Marquez,female,24.2,3,3,710269,328.68,A1,S
316,1,1,Joshua Mcclain,male,73.0,1,3,654594,33.08,D1,Q
317,1,1,Tony Gonzalez,male,77.4,1,1,247718,137.36,D1,S
318,0,2,Erik Johnson,male,15.7,4,1,408987,37.31,A1,S
319,1,2,Pamela Lee,male,37.5,3,2,745263,312.22,,Q
320,0,2,Anthony Jenkins,female,1.1,4,3,458745,354.03,C1,C
321,0,3,Joshua Shaffer,female,48.3,0,3,207512,65.08,A1,Q
322,0,3,Erika Lewis,male,49.0,3,2,247443,201.12,B1,C
323,0,1,Mark Khan,male,20.6,2,0,570587,237.69,,S
324,1,2,Andre King,male,45.1,0,2,473616,193.65,B1,Q
325,1,1,Rebecca Sosa,male,18.8,0,4,757409,68.38,,Q
326,0,1,Stephanie Holland,male,13.7,2,3,786976,218.85,C1,Q
327,0,1,Jill Vargas,male,52.5,0,1,465871,386.66,C1,C
328,0,1,Jennifer Smith,female,26.7,3,4,475037,43.11,D1,C
329,1,2,Jordan Carroll,male,47.6,4,3,907364,47.75,B1,S
330,0,1,Diane Olson,female,35.2,0,2,217796,186.44,,C
331,0,2,Timothy Brown,female,78.8,3,4,391999,482.9,C1,C
332,1,2,Karen Anderson,male,12.8,1,3,292506,344.93,A1,S
333,1,3,John Carter,female,37.7,3,0,798376,350.03,C1,Q
334,0,2,Adam Ortega,female,54.8,4,0,369544,190.05,A1,Q
335,1,3,Sergio Moreno,female,32.2,3,1,480002,307.1,,S
336,1,2,Amber Townsend,female,78.0,2,3,798002,12.37,C1,Q
337,0,2,Amy White,female,58.0,4,0,639439,328.53,C1,C
338,1,2,Jeffrey Washington,female,52.9,1,2,690978,468.53,,S
339,0,3,Mr. Darryl Barr DVM,male,60.8,2,3,628787,316.65,C1,S
340,1,3,Matthew Jones,female,76.3,3,2,630583,448.54,A1,S
341,0,1,Christina Aguilar,female,72.7,4,2,488215,372.91,C1,Q
342,0,3,Darren Floyd,female,58.2,1,0,421184,68.14,B1,S
343,0,3,Lisa King,male,60.2,2,3,898615,463.06,D1,S
344,1,3,Edward Jefferson,female,12.5,1,4,522515,40.81,A1,S
345,0,3,Nicole Ali,male,9.1,3,0,768234,276.95,B1,Q
346,1,1,Courtney Reynolds,female,46.1,1,0,478480,79.04,,C
347,0,3,Victoria Soto,male,2.5,0,3,132711,13.16,A1,S
348,0,2,Charlene Oneal,male,39.1,2,3,891971,220.41,D1,C
349,1,2,Aaron Hendricks,female,17.6,1,2,601157,156.27,D1,Q
350,0,3,Ms. Ashley Pope,female,28.3,3,3,284423,252.72,,Q
351,0,3,Mr. Anthony Garcia,male,62.3,3,2,616349,298.78,,Q
352,1,2,Jeffrey Olson,female,75.4,1,0,803714,29.34,A1,Q
353,0,2,Barbara Brooks,male,6.7,3,1,757917,69.38,C1,C
354,0,1,Logan Weber,male,43.2,4,4,924792,289.41,,S
355,0,2,Valerie Hatfield,male,70.7,4,0,837378,180.58,C1,Q
356,0,2,Casey Mueller,male,7.5,4,3,233272,375.54,B1,Q
357,1,3,Wendy Ray,male,66.1,0,4,867836,336.71,D1,C
358,1,2,Ashley Terry,female,29.3,1,1,802335,434.35,C1,C
359,0,1,Brianna Garcia,male,26.4,0,1,907789,357.01,D1,Q
360,1,2,Todd Moody,male,78.2,3,2,743409,224.4,C1,S
361,0,3,Matthew Johnson,female,16.9,0,4,177505,347.15,B1,S
362,1,3,Donald Gonzalez,male,55.8,3,2,102869,146.34,,Q
363,0,2,Erin Lopez,female,65.9,3,0,881474,161.96,B1,C
364,0,3,Jacob Gaines,female,4.3,2,4,554351,405.75,,Q
365,0,1,Kristin Perez,female,54.0,4,0,412252,232.73,,Q
366,0,1,Robert Norman,male,76.2,3,2,736584,410.5,D1,C
367,0,2,Timothy Johnston,male,10.8,2,4,718467,422.64,B1,Q
368,0,2,Michele Mcguire,male,71.8,4,2,190272,440.39,C1,Q
369,1,2,Monica Hancock,female,48.0,3,4,138467,470.22,B1,Q
370,0,3,Rita Wall,male,49.7,3,2,909760,224.93,D1,C
371,1,1,Logan Ray,female,49.4,0,1,977844,168.3,,S
372,0,1,Steven Ramirez,male,24.6,0,2,580047,301.31,D1,S
373,1,3,Cheyenne Miller,female,74.9,4,1,759347,194.72,A1,C
374,1,1,Joe Everett,male,75.8,3,2,158871,310.84,A1,S
375,1,2,Renee Davis,male,50.4,1,4,228391,363.63,C1,Q
376,0,2,Dorothy Martinez,male,62.9,0,4,539430,354.95,D1,S
377,0,2,Michelle Davis,female,49.4,4,4,710704,196.43,C1,Q
378,1,1,Nicole Collins,female,39.3,3,3,956703,91.53,C1,S
379,0,2,Julie Fields,male,53.2,3,0,930496,224.7,A1,C
380,1,3,Daniel Petersen,male,44.7,1,4,356687,79.27,C1,S
